"id","event","path","anonymousId","userId","userName","userEmail","ipAddress","location","userAgent","createdAt","properties"
"1700","page_view","/admin-activity","bb2248ea-3b9e-47de-92ba-8ffef09b2e7c","","","","122.182.219.95","Bhopal, Madhya Pradesh, India","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36 EdgA/150.0.0.0","2026-08-15T04:02:53.870Z","{""path"":""/admin-activity""}"
"1699","page_view","/admin-users","bb2248ea-3b9e-47de-92ba-8ffef09b2e7c","","","","122.182.219.95","Bhopal, Madhya Pradesh, India","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36 EdgA/150.0.0.0","2026-08-15T04:02:45.861Z","{""path"":""/admin-users""}"
"1698","page_view","/admin-users","bb2248ea-3b9e-47de-92ba-8ffef09b2e7c","","","","122.182.219.95","Bhopal, Madhya Pradesh, India","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36 EdgA/150.0.0.0","2026-08-15T04:02:41.958Z","{""path"":""/admin-users""}"
"1697","page_view","/interview-ace?gad_source=5&gad_campaignid=24116178903&gclid=Cj0KCQjw-frTBhCvARIsADv4XY4h-E8icqvCqna84VjTPJfjf71xP9wP3ILE1Gvs4rA3CyUAi2w1sVsaAtZ8EALw_wcB","ff7c3f21-615d-4f8a-85f3-7676ceb0c6fe","","","","152.59.158.120","Matigara, West Bengal, India","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36","2026-08-15T03:42:53.378Z","{""path"":""/interview-ace""}"
"1696","page_view","/english-guru","bb2248ea-3b9e-47de-92ba-8ffef09b2e7c","","","","122.182.219.95","Bhopal, Madhya Pradesh, India","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36 EdgA/150.0.0.0","2026-08-15T03:36:01.780Z","{""path"":""/english-guru""}"
"1695","page_view","/english-guru","bb2248ea-3b9e-47de-92ba-8ffef09b2e7c","","","","122.182.219.95","Bhopal, Madhya Pradesh, India","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36 EdgA/150.0.0.0","2026-08-15T03:35:58.477Z","{""path"":""/english-guru""}"
"1694","page_view","/interview-ace","bb2248ea-3b9e-47de-92ba-8ffef09b2e7c","","","","122.182.219.95","Bhopal, Madhya Pradesh, India","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36 EdgA/150.0.0.0","2026-08-15T03:35:49.977Z","{""path"":""/interview-ace""}"
"1693","page_view","/","8e69cc1d-65f6-4233-9bd9-c61c4ec6299b","","","","34.47.229.243","Mumbai, Maharashtra, India","Mozilla/5.0 (Linux; Android 11; moto g power (2022)) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/136.0.0.0 Mobile Safari/537.36","2026-08-15T03:35:41.197Z","{""path"":""/""}"
"1692","page_view","/interview-ace","bb2248ea-3b9e-47de-92ba-8ffef09b2e7c","","","","122.182.219.95","Bhopal, Madhya Pradesh, India","Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Mobile Safari/537.36 EdgA/150.0.0.0","2026-08-15T03:26:48.817Z","{""path"":""/interview-ace""}"
"1691","page_view","/english-guru","5a43e81f-7ab9-40a9-9414-f42a66cfa046","","","","122.182.219.95","Bhopal, Madhya Pradesh, India","Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/151.0.0.0 Safari/537.36 Edg/151.0.0.0","2026-08-15T03:24:36.964Z","{""path"":""/english-guru""}"
